# Autogenerated from print_iod script.
IOD Microscopy Bulk Simple Annotations Storage

  MappingResourceUID (0x00080118) ['UI'] ['M'] ['3']
  MappingResourceName (0x00080122) ['LO'] ['M'] ['3']
  ContextGroupVersion (0x00080106) ['DT'] ['M'] ['1C']
  ContextGroupExtensionFlag (0x0008010B) ['CS'] ['M'] ['3']
  ContextGroupLocalVersion (0x00080107) ['DT'] ['M'] ['1C']
  ContextGroupExtensionCreatorUID (0x0008010D) ['UI'] ['M'] ['1C']
BreedRegistrationSequence (0x00102294) ['SQ'] ['M'] ['2C']
  BreedRegistrationNumber (0x00102295) ['LO'] ['M'] ['1']
  BreedRegistryCodeSequence (0x00102296) ['SQ'] ['M'] ['1']
    CodeValue (0x00080100) ['SH'] ['M'] ['1C']
    CodingSchemeDesignator (0x00080102) ['SH'] ['M'] ['1C']
    CodingSchemeVersion (0x00080103) ['SH'] ['M'] ['1C']
    CodeMeaning (0x00080104) ['LO'] ['M'] ['1']
    LongCodeValue (0x00080119) ['UC'] ['M'] ['1C']
    URNCodeValue (0x00080120) ['UR'] ['M'] ['1C']
    EquivalentCodeSequence (0x00080121) ['SQ'] ['M'] ['3']
      CodeValue (0x00080100) ['SH'] ['M'] ['1C']
      CodingSchemeDesignator (0x00080102) ['SH'] ['M'] ['1C']
      CodingSchemeVersion (0x00080103) ['SH'] ['M'] ['1C']
      CodeMeaning (0x00080104) ['LO'] ['M'] ['1']
      LongCodeValue (0x00080119) ['UC'] ['M'] ['1C']
      URNCodeValue (0x00080120) ['UR'] ['M'] ['1C']
      ContextIdentifier (0x0008010F) ['CS'] ['M'] ['3']
      ContextUID (0x00080117) ['UI'] ['M'] ['3']
      MappingResource (0x00080105) ['CS'] ['M'] ['1C']
      MappingResourceUID (0x00080118) ['UI'] ['M'] ['3']
      MappingResourceName (0x00080122) ['LO'] ['M'] ['3']
      ContextGroupVersion (0x00080106) ['DT'] ['M'] ['1C']
      ContextGroupExtensionFlag (0x0008010B) ['CS'] ['M'] ['3']
      ContextGroupLocalVersion (0x00080107) ['DT'] ['M'] ['1C']
      ContextGroupExtensionCreatorUID (0x0008010D) ['UI'] ['M'] ['1C']
    ContextIdentifier (0x0008010F) ['CS'] ['M'] ['3']
    ContextUID (0x00080117) ['UI'] ['M'] ['3']
    MappingResource (0x00080105) ['CS'] ['M'] ['1C']
    MappingResourceUID (0x00080118) ['UI'] ['M'] ['3']
    MappingResourceName (0x00080122) ['LO'] ['M'] ['3']
    ContextGroupVersion (0x00080106) ['DT'] ['M'] ['1C']
    ContextGroupExtensionFlag (0x0008010B) ['CS'] ['M'] ['3']
    ContextGroupLocalVersion (0x00080107) ['DT'] ['M'] ['1C']
    ContextGroupExtensionCreatorUID (0x0008010D) ['UI'] ['M'] ['1C']
StrainDescription (0x00100212) ['UC'] ['M'] ['3']
StrainNomenclature (0x00100213) ['LO'] ['M'] ['3']
StrainCodeSequence (0x00100219) ['SQ'] ['M'] ['3']
  CodeValue (0x00080100) ['SH'] ['M'] ['1C']
  CodingSchemeDesignator (0x00080102) ['SH'] ['M'] ['1C']
  CodingSchemeVersion (0x00080103) ['SH'] ['M'] ['1C']
  CodeMeaning (0x00080104) ['LO'] ['M'] ['1']
  LongCodeValue (0x00080119) ['UC'] ['M'] ['1C']
  URNCodeValue (0x00080120) ['UR'] ['M'] ['1C']
  EquivalentCodeSequence (0x00080121) ['SQ'] ['M'] ['3']
    CodeValue (0x00080100) ['SH'] ['M'] ['1C']
    CodingSchemeDesignator (0x00080102) ['SH'] ['M'] ['1C']
    CodingSchemeVersion (0x00080103) ['SH'] ['M'] ['1C']
    CodeMeaning (0x00080104) ['LO'] ['M'] ['1']
    LongCodeValue (0x00080119) ['UC'] ['M'] ['1C']
    URNCodeValue (0x00080120) ['UR'] ['M'] ['1C']
    ContextIdentifier (0x0008010F) ['CS'] ['M'] ['3']
    ContextUID (0x00080117) ['UI'] ['M'] ['3']
    MappingResource (0x00080105) ['CS'] ['M'] ['1C']
    MappingResourceUID (0x00080118) ['UI'] ['M'] ['3']
    MappingResourceName (0x00080122) ['LO'] ['M'] ['3']
    ContextGroupVersion (0x00080106) ['DT'] ['M'] ['1C']
    ContextGroupExtensionFlag (0x0008010B) ['CS'] ['M'] ['3']
    ContextGroupLocalVersion (0x00080107) ['DT'] ['M'] ['1C']
    ContextGroupExtensionCreatorUID (0x0008010D) ['UI'] ['M'] ['1C']
  ContextIdentifier (0x0008010F) ['CS'] ['M'] ['3']
  ContextUID (0x00080117) ['UI'] ['M'] ['3']
  MappingResource (0x00080105) ['CS'] ['M'] ['1C']
  MappingResourceUID (0x00080118) ['UI'] ['M'] ['3']
  MappingResourceName (0x00080122) ['LO'] ['M'] ['3']
  ContextGroupVersion (0x00080106) ['DT'] ['M'] ['1C']
  ContextGroupExtensionFlag (0x0008010B) ['CS'] ['M'] ['3']
  ContextGroupLocalVersion (0x00080107) ['DT'] ['M'] ['1C']
  ContextGroupExtensionCreatorUID (0x0008010D) ['UI'] ['M'] ['1C']
StrainAdditionalInformation (0x00100218) ['UT'] ['M'] ['3']
StrainStockSequence (0x00100216) ['SQ'] ['M'] ['3']
  StrainStockNumber (0x00100214) ['LO'] ['M'] ['1']
  StrainSource (0x00100217) ['LO'] ['M'] ['1']
  StrainSourceRegistryCodeSequence (0x00100215) ['SQ'] ['M'] ['1']
    CodeValue (0x00080100) ['SH'] ['M'] ['1C']
    CodingSchemeDesignator (0x00080102) ['SH'] ['M'] ['1C']
    CodingSchemeVersion (0x00080103) ['SH'] ['M'] ['1C']
    CodeMeaning (0x00080104) ['LO'] ['M'] ['1']
    LongCodeValue (0x00080119) ['UC'] ['M'] ['1C']
    URNCodeValue (0x00080120) ['UR'] ['M'] ['1C']
    EquivalentCodeSequence (0x00080121) ['SQ'] ['M'] ['3']
      CodeValue (0x00080100) ['SH'] ['M'] ['1C']
      CodingSchemeDesignator (0x00080102) ['SH'] ['M'] ['1C']
      CodingSchemeVersion (0x00080103) ['SH'] ['M'] ['1C']
      CodeMeaning (0x00080104) ['LO'] ['M'] ['1']
      LongCodeValue (0x00080119) ['UC'] ['M'] ['1C']
      URNCodeValue (0x00080120) ['UR'] ['M'] ['1C']
      ContextIdentifier (0x0008010F) ['CS'] ['M'] ['3']
      ContextUID (0x00080117) ['UI'] ['M'] ['3']
      MappingResource (0x00080105) ['CS'] ['M'] ['1C']
      MappingResourceUID (0x00080118) ['UI'] ['M'] ['3']
      MappingResourceName (0x00080122) ['LO'] ['M'] ['3']
      ContextGroupVersion (0x00080106) ['DT'] ['M'] ['1C']
      ContextGroupExtensionFlag (0x0008010B) ['CS'] ['M'] ['3']
      ContextGroupLocalVersion (0x00080107) ['DT'] ['M'] ['1C']
      ContextGroupExtensionCreatorUID (0x0008010D) ['UI'] ['M'] ['1C']
    ContextIdentifier (0x0008010F) ['CS'] ['M'] ['3']
    ContextUID (0x00080117) ['UI'] ['M'] ['3']
    MappingResource (0x00080105) ['CS'] ['M'] ['1C']
    MappingResourceUID (0x00080118) ['UI'] ['M'] ['3']
    MappingResourceName (0x00080122) ['LO'] ['M'] ['3']
    ContextGroupVersion (0x00080106) ['DT'] ['M'] ['1C']
    ContextGroupExtensionFlag (0x0008010B) ['CS'] ['M'] ['3']
    ContextGroupLocalVersion (0x00080107) ['DT'] ['M'] ['1C']
    ContextGroupExtensionCreatorUID (0x0008010D) ['UI'] ['M'] ['1C']
GeneticModificationsSequence (0x00100221) ['SQ'] ['M'] ['3']
  GeneticModificationsDescription (0x00100222) ['UC'] ['M'] ['1']
  GeneticModificationsNomenclature (0x00100223) ['LO'] ['M'] ['1']
  GeneticModificationsCodeSequence (0x00100229) ['SQ'] ['M'] ['3']
    CodeValue (0x00080100) ['SH'] ['M'] ['1C']
